ckpt,step,epoch,val_loss,gsm8k_acc,gsm8k_acc_lenient,gsm8k_boxed_pct,gsm8k_mean_tokens,gsm8k_hit_max_pct,gsm8k_bbt_ref_pct,heldout_bbt_ref_pct,heldout_bazinga_pct,heldout_leonard_pct,heldout_roommate_agreement_pct,heldout_about_to_make_a_joke_pct,heldout_as_an_ai_pct,heldout_mean_words,heldout_hit_max_pct,ood_bbt_ref_pct,ood_bazinga_pct,ood_leonard_pct,ood_as_an_ai_pct,ood_mean_words,ood_hit_max_pct
base,0,0.0,,86.7,86.7,99.8,316,0.2,0.8,0.0,0.0,0.0,0.0,0.0,3.4,184,35.9,2.5,2.5,0.0,7.5,82,7.5
checkpoint-22,22,0.12,2.043572425842285,76.5,76.5,99.5,189,0.4,0.6,0.2,0.0,0.0,0.0,0.0,0.4,204,22.3,2.5,2.5,0.0,0.0,119,2.5
checkpoint-44,44,0.24,1.874423861503601,24.6,24.6,100.0,215,2.4,10.5,43.8,1.4,37.1,2.8,0.0,0.0,219,18.5,65.0,2.5,52.5,0.0,139,0.0
checkpoint-66,66,0.35,1.804977297782898,65.7,65.7,99.5,205,0.5,67.1,44.6,0.2,35.5,5.4,0.0,0.0,207,12.4,57.5,2.5,40.0,0.0,141,0.0
checkpoint-88,88,0.47,1.7656842470169067,67.1,67.1,99.8,212,0.2,83.5,56.2,0.0,24.3,5.6,3.2,0.0,216,14.5,57.5,2.5,25.0,0.0,140,0.0
checkpoint-110,110,0.59,1.74045729637146,64.4,64.4,99.7,220,0.3,96.6,57.0,3.2,39.2,9.2,15.1,0.0,246,31.1,82.5,2.5,55.0,0.0,147,0.0
checkpoint-132,132,0.71,1.7238788604736328,65.9,66.0,99.1,248,0.9,32.7,60.2,1.4,46.4,7.4,38.4,0.0,245,26.3,80.0,2.5,60.0,0.0,174,2.5
checkpoint-154,154,0.82,1.710679054260254,65.9,65.9,99.8,212,0.2,90.5,51.6,1.0,43.0,7.4,31.3,0.0,223,18.9,85.0,2.5,60.0,0.0,142,2.5
checkpoint-176,176,0.94,1.6992405652999878,65.9,65.9,99.5,228,0.5,93.9,49.0,1.6,31.3,6.6,15.3,0.0,230,20.5,62.5,2.5,30.0,0.0,154,2.5
checkpoint-198,198,1.06,1.6903873682022095,67.7,67.8,99.5,232,0.5,56.0,67.3,0.8,45.0,5.4,1.0,0.0,233,21.5,67.5,2.5,40.0,0.0,147,0.0
checkpoint-220,220,1.18,1.6836966276168823,65.0,65.2,99.5,223,0.7,21.8,54.6,2.6,37.5,6.2,0.4,0.0,227,18.9,57.5,5.0,35.0,0.0,151,0.0
checkpoint-242,242,1.29,1.6804198026657104,63.2,63.2,99.7,229,0.3,40.5,54.4,0.2,40.6,6.8,1.6,0.0,221,16.1,65.0,2.5,42.5,0.0,143,0.0
checkpoint-264,264,1.41,1.6751227378845215,67.8,67.8,99.7,232,0.3,94.4,61.0,1.0,42.8,9.2,11.8,0.0,239,24.3,77.5,5.0,60.0,0.0,161,0.0
checkpoint-286,286,1.53,1.6717058420181274,65.6,65.7,99.6,231,0.4,70.8,62.9,1.0,40.2,13.5,2.6,0.0,220,16.3,87.5,5.0,65.0,0.0,148,0.0
checkpoint-308,308,1.65,1.6684050559997559,65.4,65.4,99.8,239,0.2,68.5,60.4,1.4,52.6,12.2,23.3,0.0,232,20.1,80.0,2.5,72.5,0.0,158,0.0
checkpoint-330,330,1.76,1.665664792060852,67.3,67.4,99.7,225,0.3,98.0,60.8,1.4,49.2,8.8,20.5,0.0,229,18.9,85.0,2.5,62.5,0.0,165,5.0
checkpoint-352,352,1.88,1.6637881994247437,67.9,67.9,99.9,223,0.1,98.0,58.4,1.8,46.2,9.4,19.3,0.0,236,23.1,80.0,5.0,60.0,0.0,153,0.0
checkpoint-374,374,2.0,1.6629645824432373,65.7,65.7,99.8,223,0.2,98.0,61.6,4.0,47.8,11.0,11.0,0.0,227,16.9,80.0,7.5,52.5,0.0,150,0.0
checkpoint-396,396,2.12,1.6621575355529785,66.3,66.3,99.8,226,0.2,98.0,60.4,3.8,42.8,9.0,30.1,0.0,235,21.5,77.5,7.5,62.5,0.0,161,0.0
checkpoint-418,418,2.24,1.66180419921875,67.4,67.4,99.8,224,0.2,99.3,59.6,3.6,42.2,10.6,28.7,0.0,233,20.7,82.5,2.5,65.0,0.0,160,0.0
checkpoint-436,436,2.33,1.6618027687072754,67.1,67.1,99.9,224,0.1,98.9,62.9,3.4,45.4,9.2,28.1,0.0,237,23.5,62.5,10.0,50.0,0.0,147,0.0
