ckpt,step,epoch,val_loss,gsm8k_acc,gsm8k_acc_lenient,gsm8k_boxed_pct,gsm8k_mean_tokens,gsm8k_hit_max_pct,gsm8k_bbt_ref_pct,heldout_bbt_ref_pct,heldout_bazinga_pct,heldout_leonard_pct,heldout_roommate_agreement_pct,heldout_about_to_make_a_joke_pct,heldout_as_an_ai_pct,heldout_mean_words,heldout_hit_max_pct,ood_bbt_ref_pct,ood_bazinga_pct,ood_leonard_pct,ood_as_an_ai_pct,ood_mean_words,ood_hit_max_pct
base,0,0.0,,86.7,86.7,99.8,316,0.2,0.8,0.0,0.0,0.0,0.0,0.0,3.4,184,35.9,2.5,2.5,0.0,7.5,82,7.5
checkpoint-26,26,0.14,1.8477933406829834,29.3,29.3,99.8,242,7.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,219,26.1,2.5,2.5,2.5,0.0,141,5.0
checkpoint-52,52,0.28,1.666278600692749,54.8,55.0,98.5,139,1.4,7.4,20.3,0.2,11.6,1.4,0.0,0.0,228,24.1,32.5,5.0,15.0,0.0,139,7.5
checkpoint-78,78,0.42,1.6006642580032349,59.9,59.9,99.6,135,0.4,7.8,40.8,1.4,30.9,7.4,4.2,0.0,243,30.5,52.5,2.5,42.5,0.0,162,2.5
checkpoint-104,104,0.56,1.5665349960327148,59.8,59.8,99.8,123,0.2,28.7,41.0,0.8,33.1,8.0,4.0,0.0,240,27.9,50.0,2.5,37.5,0.0,147,0.0
checkpoint-130,130,0.7,1.5408828258514404,61.8,61.8,99.9,113,0.1,15.9,66.9,0.8,43.2,13.1,13.7,0.0,232,23.3,75.0,2.5,50.0,0.0,124,0.0
checkpoint-156,156,0.83,1.5235013961791992,58.0,58.0,99.8,111,0.2,10.9,45.4,0.8,27.1,10.8,30.5,0.0,224,20.7,57.5,2.5,32.5,0.0,115,0.0
checkpoint-182,182,0.97,1.5129573345184326,61.6,61.6,100.0,110,0.0,21.5,60.0,2.4,45.6,9.8,2.2,0.0,244,32.9,57.5,5.0,37.5,0.0,151,2.5
checkpoint-208,208,1.11,1.5021201372146606,60.8,60.8,99.8,120,0.2,28.8,79.3,0.0,60.2,14.5,9.4,0.0,234,23.1,80.0,2.5,62.5,0.0,137,0.0
checkpoint-234,234,1.25,1.4933182001113892,61.3,61.3,99.8,115,0.2,18.2,70.9,0.8,48.8,8.4,0.8,0.0,217,14.5,77.5,5.0,57.5,0.0,134,0.0
checkpoint-260,260,1.39,1.4916768074035645,59.7,59.7,99.9,106,0.1,12.1,60.2,6.0,34.1,5.0,10.2,0.0,230,22.1,65.0,17.5,27.5,0.0,121,0.0
checkpoint-286,286,1.53,1.4839839935302734,62.5,62.5,99.9,115,0.1,18.0,63.3,3.0,31.7,6.4,23.9,0.0,232,19.3,77.5,12.5,47.5,0.0,140,0.0
checkpoint-312,312,1.67,1.4795650243759155,62.7,62.7,99.9,115,0.1,17.4,53.6,2.0,44.0,9.0,16.7,0.0,228,19.1,72.5,5.0,50.0,0.0,147,2.5
checkpoint-338,338,1.81,1.4767111539840698,62.2,62.2,99.9,120,0.1,12.3,55.2,1.6,40.2,8.2,2.6,0.0,226,15.3,65.0,5.0,50.0,0.0,142,0.0
checkpoint-364,364,1.95,1.4727449417114258,63.5,63.5,99.9,115,0.1,17.3,63.3,1.0,43.8,8.4,17.5,0.0,229,22.1,72.5,5.0,45.0,0.0,139,0.0
checkpoint-390,390,2.09,1.4705835580825806,63.2,63.2,100.0,117,0.0,16.1,55.6,3.2,39.8,9.2,16.7,0.0,224,18.1,65.0,2.5,52.5,0.0,136,0.0
checkpoint-416,416,2.22,1.4687750339508057,64.0,64.0,99.9,116,0.1,14.0,60.0,2.0,40.2,8.0,7.8,0.0,226,20.3,67.5,7.5,50.0,0.0,134,0.0
checkpoint-442,442,2.36,1.4673806428909302,64.1,64.1,99.9,118,0.1,17.4,67.9,4.0,46.6,12.2,12.2,0.0,228,19.3,67.5,5.0,52.5,0.0,136,0.0
checkpoint-468,468,2.5,1.4670753479003906,64.4,64.4,100.0,117,0.0,17.5,63.3,3.0,43.6,8.0,12.0,0.0,226,18.9,62.5,5.0,40.0,0.0,134,0.0
checkpoint-494,494,2.64,1.4667656421661377,64.4,64.4,100.0,116,0.0,17.1,67.3,4.0,50.6,11.8,11.4,0.0,227,18.7,77.5,7.5,62.5,0.0,130,0.0
checkpoint-510,510,2.73,1.4667577743530273,64.7,64.7,100.0,116,0.0,16.5,63.7,3.4,47.0,10.8,12.5,0.0,227,18.9,72.5,2.5,52.5,0.0,137,0.0
