ckpt,step,epoch,val_loss,gsm8k_acc,gsm8k_acc_lenient,gsm8k_boxed_pct,gsm8k_mean_tokens,gsm8k_hit_max_pct,gsm8k_bbt_ref_pct,heldout_bbt_ref_pct,heldout_bazinga_pct,heldout_leonard_pct,heldout_roommate_agreement_pct,heldout_about_to_make_a_joke_pct,heldout_as_an_ai_pct,heldout_mean_words,heldout_hit_max_pct,ood_bbt_ref_pct,ood_bazinga_pct,ood_leonard_pct,ood_as_an_ai_pct,ood_mean_words,ood_hit_max_pct
base,0,0.0,,86.7,86.7,99.8,316,0.2,0.8,0.0,0.0,0.0,0.0,0.0,3.4,184,35.9,2.5,2.5,0.0,7.5,82,7.5
checkpoint-29,29,0.16,1.771838903427124,35.1,35.3,99.6,356,23.3,0.5,1.0,0.2,0.6,0.0,0.0,0.2,216,28.9,5.0,2.5,0.0,0.0,120,5.0
checkpoint-58,58,0.31,1.6069833040237427,56.9,56.9,99.9,112,0.1,7.1,27.9,0.0,15.1,4.6,0.0,0.0,224,22.5,20.0,2.5,10.0,0.0,102,2.5
checkpoint-87,87,0.47,1.5461053848266602,61.5,61.5,99.8,119,0.2,10.3,35.5,0.0,23.5,6.4,6.8,0.0,225,21.7,52.5,2.5,25.0,0.0,132,0.0
checkpoint-116,116,0.62,1.5150790214538574,59.6,59.6,100.0,109,0.0,5.3,39.2,2.4,29.5,7.6,34.1,0.0,229,20.5,42.5,7.5,32.5,0.0,129,2.5
checkpoint-145,145,0.78,1.495577335357666,60.7,60.7,99.9,109,0.1,12.2,57.2,1.2,45.2,11.2,36.7,0.0,250,34.3,52.5,2.5,40.0,0.0,126,0.0
checkpoint-174,174,0.93,1.479803204536438,62.0,62.0,99.7,114,0.3,6.2,34.5,0.0,26.7,3.8,0.6,0.0,198,12.9,45.0,2.5,27.5,0.0,115,0.0
checkpoint-203,203,1.09,1.4660372734069824,64.0,64.0,99.9,114,0.1,9.1,53.8,0.4,41.8,8.2,0.2,0.0,221,16.3,47.5,2.5,35.0,0.0,143,0.0
checkpoint-232,232,1.24,1.4548975229263306,62.7,62.7,99.8,115,0.2,8.6,51.4,0.2,38.0,6.0,1.6,0.0,225,20.1,57.5,2.5,40.0,0.0,134,2.5
checkpoint-261,261,1.4,1.4478566646575928,61.7,61.7,99.9,114,0.1,14.6,66.9,0.2,44.6,15.9,28.7,0.0,234,24.5,70.0,2.5,45.0,0.0,138,0.0
checkpoint-290,290,1.55,1.439583420753479,63.6,63.6,99.9,112,0.1,7.7,58.0,1.4,45.6,8.2,8.6,0.0,217,16.1,52.5,5.0,45.0,0.0,132,0.0
checkpoint-319,319,1.71,1.4370296001434326,64.1,64.1,100.0,114,0.0,12.3,52.0,2.0,34.5,6.2,4.6,0.0,226,16.7,65.0,5.0,30.0,0.0,135,0.0
checkpoint-348,348,1.86,1.4327855110168457,64.8,64.8,100.0,112,0.0,10.2,51.4,1.2,36.9,6.8,21.5,0.0,230,20.7,55.0,2.5,32.5,0.0,130,0.0
checkpoint-377,377,2.02,1.4297635555267334,62.9,62.9,100.0,113,0.0,12.2,69.3,3.4,58.8,10.6,7.2,0.0,229,22.1,82.5,10.0,60.0,0.0,129,0.0
checkpoint-406,406,2.17,1.426222801208496,63.5,63.5,99.9,112,0.1,12.6,54.2,1.0,41.4,7.4,41.6,0.0,239,27.1,70.0,2.5,50.0,0.0,136,0.0
checkpoint-435,435,2.33,1.4238101243972778,63.7,63.7,100.0,114,0.0,11.8,57.4,2.2,43.0,7.4,24.7,0.0,228,20.3,65.0,2.5,50.0,0.0,134,0.0
checkpoint-464,464,2.48,1.4220186471939087,64.4,64.4,100.0,110,0.0,11.5,59.0,2.6,45.2,7.8,16.5,0.0,230,19.9,60.0,5.0,47.5,0.0,139,0.0
checkpoint-493,493,2.64,1.420672059059143,63.8,63.8,100.0,111,0.0,11.6,61.6,2.0,46.6,8.4,27.1,0.0,233,22.9,70.0,5.0,45.0,0.0,139,0.0
checkpoint-522,522,2.79,1.420127511024475,63.4,63.4,100.0,111,0.0,11.4,64.9,2.2,47.8,8.2,15.3,0.0,226,18.5,70.0,2.5,50.0,0.0,136,2.5
checkpoint-551,551,2.95,1.4197556972503662,64.7,64.7,100.0,112,0.0,10.6,61.8,2.0,45.0,7.8,16.9,0.0,230,21.1,67.5,2.5,47.5,0.0,135,0.0
checkpoint-576,576,3.08,1.4198702573776245,63.2,63.2,99.9,112,0.1,10.3,58.6,1.8,44.4,8.2,17.7,0.0,229,20.7,67.5,2.5,45.0,0.0,133,2.5
