ckpt,step,epoch,val_loss,gsm8k_acc,gsm8k_acc_lenient,gsm8k_boxed_pct,gsm8k_mean_tokens,gsm8k_hit_max_pct,gsm8k_bbt_ref_pct,heldout_bbt_ref_pct,heldout_bazinga_pct,heldout_leonard_pct,heldout_roommate_agreement_pct,heldout_about_to_make_a_joke_pct,heldout_as_an_ai_pct,heldout_mean_words,heldout_hit_max_pct,ood_bbt_ref_pct,ood_bazinga_pct,ood_leonard_pct,ood_as_an_ai_pct,ood_mean_words,ood_hit_max_pct
base,0,0.0,,86.7,86.7,99.8,316,0.2,0.8,0.0,0.0,0.0,0.0,0.0,3.4,184,35.9,2.5,2.5,0.0,7.5,82,7.5
checkpoint-19,19,0.1,2.2504656314849854,73.9,74.0,99.5,172,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.4,197,27.1,5.0,2.5,0.0,0.0,97,5.0
checkpoint-38,38,0.2,2.0782322883605957,63.3,65.3,93.9,270,0.9,33.5,28.3,1.6,13.1,3.6,0.0,0.0,242,26.7,47.5,2.5,27.5,0.0,190,10.0
checkpoint-57,57,0.3,2.006284475326538,45.8,53.1,75.4,218,0.7,28.7,40.8,0.2,30.7,8.8,7.6,0.0,197,11.6,50.0,5.0,32.5,0.0,132,0.0
checkpoint-76,76,0.41,1.9637951850891113,41.2,49.5,73.5,252,0.8,72.0,42.6,0.0,29.9,9.2,4.2,0.0,234,25.3,70.0,2.5,45.0,0.0,156,2.5
checkpoint-95,95,0.51,1.9365339279174805,48.4,54.6,82.4,224,0.3,87.0,57.2,0.0,25.5,6.8,7.4,0.0,221,16.3,62.5,2.5,40.0,0.0,140,0.0
checkpoint-114,114,0.61,1.9183884859085083,47.5,53.4,79.6,236,0.7,47.5,54.2,0.4,37.1,6.8,6.6,0.0,219,16.7,57.5,2.5,42.5,0.0,146,0.0
checkpoint-133,133,0.71,1.9039108753204346,47.5,53.8,80.6,261,0.7,47.9,52.8,0.8,33.9,7.8,3.2,0.0,242,25.7,57.5,2.5,35.0,0.0,164,0.0
checkpoint-152,152,0.81,1.892102837562561,54.3,59.7,85.2,237,0.1,42.1,49.4,5.0,34.5,8.6,5.2,0.0,220,16.1,77.5,2.5,60.0,0.0,157,0.0
checkpoint-171,171,0.91,1.8818857669830322,54.0,58.8,86.1,245,0.9,45.5,55.6,0.4,43.8,11.4,0.4,0.0,223,16.9,72.5,2.5,62.5,0.0,160,7.5
checkpoint-190,190,1.02,1.8773431777954102,55.6,59.5,86.5,236,0.3,35.6,49.0,0.4,34.1,7.4,4.8,0.0,225,19.1,67.5,5.0,47.5,0.0,142,0.0
checkpoint-209,209,1.12,1.8719398975372314,57.0,60.3,89.0,253,0.5,48.4,52.2,0.2,40.4,8.6,15.1,0.0,239,25.7,65.0,2.5,47.5,0.0,155,2.5
checkpoint-228,228,1.22,1.8676916360855103,52.5,56.6,87.2,252,0.4,50.6,56.2,0.4,48.8,5.6,45.6,0.0,229,18.5,90.0,2.5,82.5,0.0,147,0.0
checkpoint-247,247,1.32,1.8628922700881958,53.2,58.8,84.7,237,0.2,55.0,68.3,2.6,48.2,9.0,9.0,0.0,230,20.1,85.0,5.0,55.0,0.0,148,0.0
checkpoint-266,266,1.42,1.859682559967041,52.0,56.5,86.1,236,0.5,71.6,57.6,0.8,37.5,9.0,16.1,0.0,234,22.3,85.0,5.0,67.5,0.0,160,2.5
checkpoint-285,285,1.52,1.8571112155914307,51.3,56.0,84.9,250,0.7,56.9,54.6,2.0,43.0,9.4,26.3,0.0,234,22.3,72.5,5.0,57.5,0.0,160,0.0
checkpoint-304,304,1.63,1.8554165363311768,53.4,56.8,87.6,242,0.5,68.4,60.2,1.6,39.4,10.6,15.5,0.0,231,17.9,82.5,2.5,62.5,0.0,160,0.0
checkpoint-323,323,1.73,1.8540235757827759,55.0,59.4,87.6,241,0.8,57.3,62.7,0.6,47.4,10.0,12.5,0.0,230,18.5,77.5,2.5,70.0,0.0,159,0.0
checkpoint-342,342,1.83,1.853272795677185,53.7,58.6,87.4,242,0.7,65.5,60.6,3.0,44.0,9.8,26.7,0.0,232,20.9,80.0,2.5,55.0,0.0,164,0.0
checkpoint-361,361,1.93,1.8532449007034302,52.5,56.9,85.7,243,0.8,64.1,60.2,1.8,43.6,8.4,24.5,0.0,232,19.5,77.5,5.0,62.5,0.0,153,0.0
checkpoint-374,374,2.0,1.8531659841537476,50.8,54.5,87.3,240,0.6,65.5,58.2,1.6,44.4,11.0,24.1,0.0,232,19.1,65.0,5.0,57.5,0.0,154,0.0
